document,page,text,font_size,is_bold,x,y,char_length,body_font_size,heading
1812.04202v3.pdf,15,"LF ( A, FV), the model adopted the following objective function:",9.962599754333496,0,312,299,64,9.5,0
1812.04202v3.pdf,15,argmax,9.962599754333496,0,348,328,6,9.5,0
1812.04202v3.pdf,15,"s.t. Z ∗ = F θ ∗ ( A ′, FV ′), θ ∗ = argmin θ LF ( A ′, FV ′),",9.962599754333496,0,322,351,62,9.5,0
1812.04202v3.pdf,15,"v 0) and inﬂuence attack (only attacking other nodes), and several",9.962599754333496,0,311,531,66,9.5,0
1812.04202v3.pdf,16,DISCUSSIONS AND CONCLUSION,11.0,1,65,51,26,9.5,0
1812.04202v3.pdf,16,Applications,9.5,1,70,128,12,9.5,0
1812.04202v3.pdf,16,Implementations,9.5,1,70,492,15,9.5,0
1812.04202v3.pdf,16,Future Directions,9.5,1,70,615,17,9.5,0
1812.04202v3.pdf,16,Summary,9.5,1,334,578,7,9.5,0
1812.04202v3.pdf,16,ACKNOWLEDGEMENT,11.0,1,312,682,15,9.5,0
1812.04202v3.pdf,17,REFERENCES,11.0,1,48,243,10,9.5,0
1812.04202v3.pdf,21,APPENDIX A,11.0,1,48,51,10,9.5,0
1812.04202v3.pdf,21,SOURCE CODES,11.0,1,48,65,12,9.5,0
1812.04202v3.pdf,21,APPENDIX B,11.0,1,48,172,10,9.5,0
1812.04202v3.pdf,21,APPLICABILITY FOR COMMON TASKS,11.0,1,48,186,30,9.5,0
1812.04202v3.pdf,21,APPENDIX C,11.0,1,48,294,10,9.5,0
1812.04202v3.pdf,21,NODE CLASSIFICATION RESULTS ON BENCHMARK,11.0,1,48,307,40,9.5,0
1812.04202v3.pdf,21,DATASETS,11.0,1,48,321,8,9.5,0
1812.04202v3.pdf,21,APPENDIX D,11.0,1,312,335,10,9.5,0
1812.04202v3.pdf,21,AN EXAMPLE OF GRAPH SIGNALS,11.0,1,312,349,27,9.5,0
1812.04202v3.pdf,21,ˆ f = QT f,9.962599754333496,0,419,517,10,9.5,0
1812.04202v3.pdf,21,"ˆ f i = QT ( i, :) f.",9.962599754333496,0,407,547,21,9.5,0
1812.04202v3.pdf,23,APPENDIX E,11.0,1,48,501,10,9.5,0
1812.04202v3.pdf,23,TIME COMPLEXITY,11.0,1,48,515,15,9.5,0
1812.04202v3.pdf,24,O ( M) through personal communications with the authors.,9.962599754333496,0,66,732,56,9.5,0
